IP,Hostname Radius,Hostname Opsview, Hostname Kibana
118.69.255.234,BDG-MX480-BRAS01-2,None,None
118.69.247.178,pfSense.localdomain,None,None
42119255196,DNG-MP-2,None,None
118.69.255.236,HCM-MP03-1,None,None
118.69.255.185,HCM-MP01-2,HCM-MP01-2,HCM-MP05-2
118.69.255.44,HCM-MP05-03,None,None
118.69.185.87,CTO-MP01-1,CTO-MP01-1,CTO-MP01-1
118.69.255.56,Wifi-GW,None,None
118.69.185.24,HCM-MP04-1-NEW,HCM-MP04-1,HCM-MP05-1
118.69.185.130,GLI-MP01-1,GLI-MP01-1,GLI-MP01-1
118.69.185.131,GLI-MP01-2,GLI-MP01-2,GLI-MP01-2
118.69.185.132,HUE-BRAS7-MX40,None,None
42.119.255.72,HCM-MP05-4,HCM-MP05-4,HCM-MP05-1
118.70.232.250,BDH-BRAS03,None,None
118.69.185.143,BDG-MP01-1,None,None
118.69.255.229,HCM-MP04-MX80-BRAS,None,None
118.69.255.191,NTG-MP01-2-NEW,None,None
118.69.255.59,DNI-MP01-4,None,None
118.69.255.26,BDH-MP01-1,BDH-MP01-1,BDH-MP01-1
118.69.255.27,BDH-MP01-2,BDH-MP01-2,BDH-MP01-2
118.69.185.154,HUE-MP02,None,None
118.69.185.153,HUE-MP01,None,None
118.69.255.55,CTO-MP01-2,None,None
118.69.255.43,DNG-MP01-3,None,None
118.69.255.134,BTN-MP01-2,None,None
118.69.255.170,EPZ-MX05-BRAS-VOD-1,None,None
118.69.255.77,DLK-MP01-1,DLK-MP01-1,DLK-MP01-1
118.69.255.78,DLK-MP01-2,DLK-MP01-2,DLK-MP01-2
118.69.255.133,BTN-MP01-1,None,None
118.69.255.162,LDG-MP01-1,LDG-MP01-1,LDG-MP01-1
118.69.255.163,LDG-MP01-2,LDG-MP01-2,LDG-MP01-2
118.69.255.20,MPC3-test,None,None
118.69.255.79,NTG-MP01-01,NTG-MP01-1-NEW,NTG-MP01-01
118.69.255.80,NTG-MP01-02,NTG-MP01-2-NEW,NTG-MP01-02
118.69.185.25,HCM-MP04-2,HCM-MP04-2,HCM-MP05-2
118.69.255.184,HCM-MP01-1,HCM-MP01-1,HCM-MP05-1
118.69.255.238,HCM-MP03-2,None,None
118.69.255.83,HCM-MP05-5,HCM-MP05-5,HCM-MP05-5
118.69.255.84,GLI-MP01-3,GLI-MP01-3,GLI-MP01-3
118.69.255.85,GLI-MP01-4,GLI-MP01-4,GLI-MP01-4
118.69.185.200,BDG-MP01-1-New,BDG-MP01-1-New,BDG-MP01-1
118.69.185.201,BDG-MP01-2-New,BDG-MP01-2-New,BDG-MP01-2
118.69.185.208,DNI-MP01-1-NEW,DNI-MP01-1-NEW,DNI-MP01-1
118.69.185.209,DNI-MP01-2-NEW,DNI-MP01-2-NEW,DNI-MP01-2
42.119.255.29,DNG-MP01-1,DNG-MP01-1,DNG-MP01-1
210.245.0.234,Opview-NOCHN34,None,None
118.69.185.227,TGG-MP01-1,TGG-MP01-1-NEW,TGG-MP01-1
118.69.185.228,TGG-MP01-2,TGG-MP01-2-NEW,TGG-MP01-2
118.69.255.86,BLC-MP01-1,BLC-MP01-1,BLC-MP01-1
118.69.255.87,BLC-MP01-2,BLC-MP01-2,BLC-MP01-2
118.69.185.241,AGG-MP01-1,AGG-MP01-1,AGG-MP01-1
118.69.185.242,AGG-MP01-2,AGG-MP01-2,AGG-MP01-2
118.69.185.246,QTI-MP01-1,QTI-MP01-1,QTI-MP01-1
118.69.185.247,QTI-MP01-2,QTI-MP01-2,QTI-MP01-2
118.69.255.69,VLG-MP01-1,VLG-MP01-1,VLG-MP01-1
118.69.255.70,VLG-MP01-2,VLG-MP01-2,VLG-MP01-2
118.69.255.92,VTU-MP01-3,None,None
118.69.255.93,VTU-MP01-4,None,None
118.69.255.24,DTP-MP01-1,DTP-MP01-1,DTP-MP01-1
118.69.255.25,DTP-MP01-2,DTP-MP01-2,DTP-MP01-2
118.69.255.106,HCM-MP03-1-NEW,HCM-MP03-1-NEW,HCM-MP03-1-NEW
118.69.255.107,HCM-MP03-2-NEW,HCM-MP03-2-NEW,HCM-MP03-2-NEW
118.69.185.226,HCM-MP05-1,HCM-MP05-1-NEW,HCM-MP03-1-NEW
118.69.185.149,HCM-MP05-2,HCM-MP05-2-NEW,HCM-MP03-2-NEW
118.69.255.9,KTM-MP01-1,KTM-MP01-1,KTM-MP01-1
118.69.255.10,KTM-MP01-2,KTM-MP01-2,KTM-MP01-2
118.69.255.252,HCM-MP06-1,HCM-MP06-1,HCM-MP06-1
118.69.255.253,HCM-MP06-2,HCM-MP06-2,HCM-MP06-2
118.69.185.20,BTE-MP01-1,BTE-MP01-1,BTE-MP01-1
118.69.185.21,BTE-MP01-2,BTE-MP01-2,BTE-MP01-2
118.69.185.7,KGG-MP01-1,KGG-MP01-1,KGG-MP01-1
118.69.185.8,KGG-MP01-2,KGG-MP01-2,KGG-MP01-2
118.69.185.11,NTN-MP01-1,NTN-MP01-1,NTN-MP01-1
118.69.185.12,NTN-MP01-2,NTN-MP01-2,NTN-MP01-2
118.69.185.16,LGI-MP01-1,LGI-MP01-1,LGI-MP01-1
118.69.185.17,LGI-MP01-2,LGI-MP01-2,LGI-MP01-2
118.69.185.253,QNM-MP01-1,QNM-MP01-1,QNM-MP01-1
118.69.185.254,QNM-MP01-2,QNM-MP01-2,QNM-MP01-2
118.69.185.78,BPC-MP01-1,BPC-MP01-1,BPC-MP01-1
118.69.185.79,BPC-MP01-2,BPC-MP01-2,BPC-MP01-2
118.69.185.165,VTU-MP01-1-NEW,VTU-MP01-1-NEW,VTU-MP01-1-NEW
118.69.185.166,VTU-MP01-2-NEW,VTU-MP01-2-NEW,VTU-MP01-2-NEW
118.69.185.198,HUE-MP01-1-NEW,HUE-MP01-1-NEW,HUE-MP01-1-NEW
118.69.185.199,HUE-MP01-2-NEW,HUE-MP01-2-NEW,HUE-MP01-2-NEW
118.69.185.64,QBH-MP01-1,QBH-MP01-1,QBH-MP01-1
118.69.185.65,QBH-MP01-2,QBH-MP01-2,QBH-MP01-2
118.69.185.29,TVH-MP01-1,TVH-MP01-1,TVH-MP01-1
118.69.185.30,TVH-MP01-2,TVH-MP01-2,TVH-MP01-2
118.69.185.196,QNI-MP01-1,QNI-MP01-1,QNI-MP01-1
118.69.185.197,QNI-MP01-2,QNI-MP01-2,QNI-MP01-2
118.69.255.123,HCM-BRAS02,None,None
118.69.255.127,E120-HCM-BRAS01,None,None
118.69.255.121,E120-HCM-BRAS03,None,None
118.69.255.125,E120-HCM-BRAS04,None,None
118.69.255.126,E120-HCM-BRAS05,None,None
118.69.255.2,BTN-MP01-1-NEW,BTN-MP01-1-NEW,BTN-MP01-1-NEW
118.69.255.3,BTN-MP01-2-NEW,BTN-MP01-2-NEW,BTN-MP01-2-NEW
210.245.0.233,Opviews-NOCHCM33,None,None
210.245.0.232,Opviews-NOCFTN32,None,None
210.245.31.162,Opviews-NOCHCM21,None,None
118.69.255.167,BDH-MP01-3,BDH-MP01-3,BDH-MP01-3
118.69.255.168,BDH-MP01-4,BDH-MP01-4,BDH-MP01-4
118.69.185.43,LDG-MP01-3,LDG-MP01-3,LDG-MP01-3
118.69.185.44,LDG-MP01-4,LDG-MP01-4,LDG-MP01-4
118.69.185.144,DLK-MP01-3,DLK-MP01-3,DLK-MP01-3
118.69.255.58,DLK-MP01-4,DLK-MP01-4,DLK-MP01-4
118.69.255.15,BRA-MP01-1,BRA-MP01-1,BRA-MP01-1
118.69.255.16,BRA-MP01-2,BRA-MP01-2,BRA-MP01-2
118.69.255.186,LAN-MP01-1,None,None
118.69.255.188,LAN-MP01-2,None,None
118.69.255.31,PYN-MP01-1,PYN-MP01-1,PYN-MP01-1
118.69.255.32,PYN-MP01-2,PYN-MP01-2,PYN-MP01-2
118.69.255.200,KGG-MP01-3,KGG-MP01-3,KGG-MP01-3
118.69.255.201,KGG-MP01-4,KGG-MP01-4,KGG-MP01-4
118.69.185.5,CMU-MP01-1,CMU-MP01-1,CMU-MP01-1
118.69.185.6,CMU-MP01-2,CMU-MP01-2,CMU-MP01-2
118.69.185.37,CTO-MP01-2-NEW,CTO-MP01-2-NEW,CTO-MP01-2
202.58.98.226,OPN-BRAS-7200-1,None,None
118.69.255.119,MX480-03,None,None
210.245.31.160,Monitor-NOC,None,None
118.69.255.188,7200-FCAM-03,None,None
42.119.255.177,MX480-02,None,None
42.119.255.215,7200-FCAM-05,None,None
42.119.255.158,MX5,None,None
202.58.98.227,OPN-BRAS-7200-2,None,None
118.69.185.79,7200-FCAM-07,BPC-MP01-2,BPC-MP01-2
118.69.255.103,7200-FCAM-08,TNH-MP01-2,TNH-MP01-2
118.69.255.102,7200-FCAM-09,TNH-MP01-1,TNH-MP01-1
118.69.255.57,MX480,None,None
210.245.0.234,NOCHN34,None,None
210.245.0.233,Opsview-NOC,None,None
210.245.31.162,Opsview-NOC-1,None,None
